id,code_site,depth_m,sieve_mm,mass_refus_cum_g,refus_cum_pct,passants_pct,echantillon_id,created_at,updated_at
484,TEKPO,2,20,,,100,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
483,TEKPO,2,10,,,100,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
482,TEKPO,2,5,,,100,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
481,TEKPO,2,2.5,0.05,0.01,99.99,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
480,TEKPO,2,1.25,3.11,0.47,99.53,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
479,TEKPO,2,0.63,43.52,6.9,93.1,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
478,TEKPO,2,0.315,121.25,24.81,75.19,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
477,TEKPO,2,0.16,108.98,41.05,58.95,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
476,TEKPO,2,0.08,39.57,46.9,53.1,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
475,TEKPO,2,0.0615,,,49.54,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
474,TEKPO,2,0.0445,,,46.62,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
473,TEKPO,2,0.0335,,,42.33,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
472,TEKPO,2,0.0218,,,37.06,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
471,TEKPO,2,0.013,,,32.18,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
470,TEKPO,2,0.0077,,,28.28,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
469,TEKPO,2,0.0049,,,26.33,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
512,KONSOGOU_T1,1.5,0.08,201.85,0.73,46.39,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
511,KONSOGOU_T1,1.5,0.1,181.82,1.55,47.12,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
510,KONSOGOU_T1,1.5,0.125,152.74,1.81,48.67,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
509,KONSOGOU_T1,1.5,0.16,114.69,1.47,50.48,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
508,KONSOGOU_T1,1.5,0.2,99.66,1.85,51.95,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
507,KONSOGOU_T1,1.5,0.25,87.44,1.71,53.8,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
